チェック,サイト名,評価,投稿日,コメント(全体),コメント(良い点),コメント(改善点),コメント（翻訳:全体),コメント（翻訳:良い),コメント（翻訳:改善点),投稿者,レビューID
false,Booking.com,8,2026-01-31,,,,,,,Haruna,bookingcom_622017_1306bef7ca8dcc7472930066512c4987
false,Trip.com,9,2026-01-31,"Super convenient, located just opposite Hakata station. Plenty of places to eat and shop. Will stay again. Breakfast quite good",,,博多駅の真向かいという最高の立地。飲食店やショップもたくさんあります。また泊まりたいです。朝食もかなり美味しかったです。,,,ゲ‍ス‍ト,trip_1831799002
false,Google,5,2026-01-31,,,,,,,praeopimon manohan,google_ChIJy_hLcceRQTURnbO4mkaV_Vs_0f4f5736a36e4f0e373a9de91170ce51
false,楽天トラベル,3,2026-01-30,駅に近く、以前宿泊したこともあり、今回も利用させていただきました。お電話での対応、対面での対応全てとても満足しました。しかし外国の方が多く、朝食も諦めてしまったことは残念でした。チェックアウト後お荷物も預かってくださり、ありがとうございました。,,,駅に近く、以前宿泊したこともあり、今回も利用させていただきました。お電話での対応、対面での対応全てとても満足しました。しかし外国の方が多く、朝食も諦めてしまったことは残念でした。チェックアウト後お荷物も預かってくださり、ありがとうございました。,,,yo-ku1231,rakuten_29211_df167aaebbdc4dfebe3c43bfad45d1b6
false,Trip.com,10,2026-01-30,하카타역과 너무 가까워서 다니기 좋았습니다. 횡단보도만 건너면 바로있어서 찾기도 너무 쉬웠고 1층엔 편의점 그리고 주변에 편의시설이 많아서 걸어다니기 좋았어요.  다음에도 후쿠오카 가게된다면 또 가고싶네요,,,博多駅に近すぎて通ってよかったです。横断歩道だけを渡ればすぐにあって探しもとても簡単で、1階にはコンビニや周辺に便利な施設が多くて歩き回りが良かったです。  次回も福岡店になったらまた行きたいですね,,,ゲ‍ス‍ト,trip_1830931958
false,Trip.com,9,2026-01-29,"Prime location, just 2 mins walk once exit from station. Clean. Breakfast variety is average.",,,駅を出て徒歩わずか2分の好立地。清潔。朝食の種類は平均的。,,,ゲ‍ス‍ト,trip_1829142293
false,Trip.com,7,2026-01-29,하카다역에서 도보로 3분이내. 호텔에 대욕장이 없는 것이 아쉬움. 3명이 한방에서 지냈는데 불편함은 없음. 조식은 허기를 때울 정도! 가격대비 만족! 시설이 많이 노후됨,,,博多駅から徒歩3分以内。ホテルに大浴場がないのが残念。 3人が漢方で過ごしたが、不便はない。朝食は空腹を打つほど！価格対満足！施設がたくさん老朽化,,,B‍A‍G‍U‍S‍ ‍S‍M,trip_1829224452
false,Booking.com,8,2026-01-29,,,,,,,Kiyofumi,bookingcom_622017_f10eb61ea7eada5723ec39aef88a84c8
false,Google,5,2026-01-28,트리플룸 넓고 괜찮았어요 트리플인데 침대는 4개에요 하카타역과 아주 가깝습니다.,,,トリプルルーム 広くて大丈夫でした トリプルなのにベッドは4つです 博多駅に非常に近いです。,,,HANGIL PARK,google_ChIJy_hLcceRQTURnbO4mkaV_Vs_9a03ca66e63f6ce77874c8cf18d92ba0
false,Trip.com,9,2026-01-28,酒店位置極佳，對面就係博多車站，又地下街，又阪急百貨，只是早餐差少少，選擇不多，但咖啡機，水，基本上供應到半夜12點👍,,,ホテルは博多駅、地下街、阪急百貨店の向かいという絶好のロケーションです。朝食は少し残念で、選択肢はあまり多くありませんが、コーヒーマシンと水は基本的に深夜12時まで提供されます👍,,,T‍r‍i‍p‍3‍0‍9‍0,trip_1828391978
