"","検索文字 URL： チェック","変なホテル東京羽田 サイト名","test 検索年月： 評価","2026年 投稿日","04月 コメント(全体)","範囲： コメント(良い点)","!A1:K コメント(改善点)","コメント（翻訳:全体)","コメント（翻訳:良い)","コメント（翻訳:改善点)","投稿者","","","","","関数用 2026年 2026年 ","03月 04月 ","","!A2:K300 ","","","",""
"","FALSE","Booking.com","9","2026-04-26","","Fun and funky experience!","A little more staff assistance would have helped with check-in","","楽しくて個性的な体験！","チェックインの際にもう少しスタッフのサポートがあれば助かっただろう。","Vanessa","","FALSE","Booking.com","9","2026-04-26","","Fun and funky experience!","A little more staff assistance would have helped with check-in","","楽しくて個性的な体験！","チェックインの際にもう少しスタッフのサポートがあれば助かっただろう。","Vanessa"
"","FALSE","Booking.com","7","2026-04-26","","bon établissement  les robots ne servent pas à grand chose","malheureusement pour le transport vers l'aéroport  faut se lever tot pour avoir une place, 1er servi 1er arrivé avec nombre de place limité sinon il propose le taxi à 3000Yen alors que le métro c'est 200Yen est plus rapide  la ligne de transport pour haneda étant rapide et efficace, cette hôtel nous a pas apporté grand chose","","良い施設だが、ロボットはあまり役に立たない","残念ながら、空港への移動手段は早起きしないと席が取れません。先着順で、座席数に限りがあります。他に、タクシーは3000円、地下鉄は200円で、所要時間も短いです。羽田空港は速くて効率的です。このホテルはあまり良いサービスを提供してくれませんでした。","Julien","","FALSE","Booking.com","7","2026-04-26","","bon établissement  les robots ne servent pas à grand chose","malheureusement pour le transport vers l'aéroport  faut se lever tot pour avoir une place, 1er servi 1er arrivé avec nombre de place limité sinon il propose le taxi à 3000Yen alors que le métro c'est 200Yen est plus rapide  la ligne de transport pour haneda étant rapide et efficace, cette hôtel nous a pas apporté grand chose","","良い施設だが、ロボットはあまり役に立たない","残念ながら、空港への移動手段は早起きしないと席が取れません。先着順で、座席数に限りがあります。他に、タクシーは3000円、地下鉄は200円で、所要時間も短いです。羽田空港は速くて効率的です。このホテルはあまり良いサービスを提供してくれませんでした。","Julien"
"","FALSE","Booking.com","10","2026-04-26","","Es super chulo,en la recepción hay una chica y dos dinosaurios que son robots,,se hace el check in online,,y lo mejor de todo,tienen un microbús que te va a recoger al aeropuerto,o te lleva, según sea el caso,,,,habitaciones,para ser Japón mas amplias que otros hoteles,,","Pues me gustó todo,no puedo decir nada en contra","","すごくクールだよ。受付には女の子とロボット恐竜が2体いるし、オンラインチェックインもできる。何より素晴らしいのは、状況に応じて空港まで送迎してくれるミニバスがあることだ。部屋も、日本のホテルにしては広々としている。","ええ、全部気に入りました。何も文句はありません。","Yayoli","","FALSE","Booking.com","10","2026-04-26","","Es super chulo,en la recepción hay una chica y dos dinosaurios que son robots,,se hace el check in online,,y lo mejor de todo,tienen un microbús que te va a recoger al aeropuerto,o te lleva, según sea el caso,,,,habitaciones,para ser Japón mas amplias que otros hoteles,,","Pues me gustó todo,no puedo decir nada en contra","","すごくクールだよ。受付には女の子とロボット恐竜が2体いるし、オンラインチェックインもできる。何より素晴らしいのは、状況に応じて空港まで送迎してくれるミニバスがあることだ。部屋も、日本のホテルにしては広々としている。","ええ、全部気に入りました。何も文句はありません。","Yayoli"
"","FALSE","Booking.com","10","2026-04-26","","Welcoming staff, very good BF, free shuttle bus","None","","スタッフの対応が親切で、朝食もとても美味しく、無料シャトルバスも利用できます。","なし","Paisal","","FALSE","Booking.com","10","2026-04-26","","Welcoming staff, very good BF, free shuttle bus","None","","スタッフの対応が親切で、朝食もとても美味しく、無料シャトルバスも利用できます。","なし","Paisal"
"","FALSE","Trip.com","10","2026-04-26","從酒店去機場就15分鐘車程，非常方便。","","","とても便利で、ホテルから空港までは車でわずか15分です。","","","S‍a‍r‍a‍r‍a‍r‍a‍j‍i‍a‍n‍g","","FALSE","Trip.com","10","2026-04-26","從酒店去機場就15分鐘車程，非常方便。","","","とても便利で、ホテルから空港までは車でわずか15分です。","","","S‍a‍r‍a‍r‍a‍r‍a‍j‍i‍a‍n‍g"
"","FALSE","Booking.com","10","2026-04-26","","Easy distance to airport made a very long travel day so much easier. The dinosaur and Robot receptionists are so fun and loved the vending machine pasta for dinner.","Nothing","","空港までの距離が近かったので、長時間の移動もとても楽でした。恐竜やロボットの受付係はとても面白く、夕食に自動販売機で買ったパスタも気に入りました。","何もない","Elanor","","FALSE","Booking.com","10","2026-04-26","","Easy distance to airport made a very long travel day so much easier. The dinosaur and Robot receptionists are so fun and loved the vending machine pasta for dinner.","Nothing","","空港までの距離が近かったので、長時間の移動もとても楽でした。恐竜やロボットの受付係はとても面白く、夕食に自動販売機で買ったパスタも気に入りました。","何もない","Elanor"
"","FALSE","Booking.com","6","2026-04-26","","frühstücken war schlecht","","","朝食はまずかった","","Peter","","FALSE","Booking.com","6","2026-04-26","","frühstücken war schlecht","","","朝食はまずかった","","Peter"
"","FALSE","Booking.com","3","2026-04-26","","Location to airport and the shuttle bus service was convenient.","The hotel is run down, room was not clean, found a hole in the wall, dust on the bench tops. It was not worth the price. No hotel staff, check-in automated.","","空港へのアクセスが良く、シャトルバスも利用できたので便利でした。","ホテルは老朽化していて、部屋は清潔ではなく、壁には穴が開いていて、カウンターには埃が積もっていました。値段に見合う価値はありませんでした。ホテルスタッフはおらず、チェックインは自動化されていました。","Hung","","FALSE","Booking.com","3","2026-04-26","","Location to airport and the shuttle bus service was convenient.","The hotel is run down, room was not clean, found a hole in the wall, dust on the bench tops. It was not worth the price. No hotel staff, check-in automated.","","空港へのアクセスが良く、シャトルバスも利用できたので便利でした。","ホテルは老朽化していて、部屋は清潔ではなく、壁には穴が開いていて、カウンターには埃が積もっていました。値段に見合う価値はありませんでした。ホテルスタッフはおらず、チェックインは自動化されていました。","Hung"
"","FALSE","Agoda","7","2026-04-26","ロボットがチェックインの相手をしてくれるホテルです。 部屋の清掃ができている何も問題のないホテルです。","","","ロボットがチェックインの相手をしてくれるホテルです。 部屋の清掃ができている何も問題のないホテルです。","","","KENICHI","","FALSE","Agoda","7","2026-04-26","ロボットがチェックインの相手をしてくれるホテルです。 部屋の清掃ができている何も問題のないホテルです。","","","ロボットがチェックインの相手をしてくれるホテルです。 部屋の清掃ができている何も問題のないホテルです。","","","KENICHI"
"","FALSE","Trip.com","10","2026-04-25","空港乗り換えの際に使用しました。立地も良いです。空港からシャトルバスが往復あるのも良いです。漫画もたくさん読めます。ありがとうございました。","","","空港乗り換えの際に使用しました。立地も良いです。空港からシャトルバスが往復あるのも良いです。漫画もたくさん読めます。ありがとうございました。","","","ゲ‍ス‍ト","","FALSE","Trip.com","10","2026-04-25","空港乗り換えの際に使用しました。立地も良いです。空港からシャトルバスが往復あるのも良いです。漫画もたくさん読めます。ありがとうございました。","","","空港乗り換えの際に使用しました。立地も良いです。空港からシャトルバスが往復あるのも良いです。漫画もたくさん読めます。ありがとうございました。","","","ゲ‍ス‍ト"
"","FALSE","Booking.com","7","2026-04-25","","Hotel cómodo com possibilidade de deixar a bagagem antes do Check in e tudo feito para ser rápido e simples","No teto fiquei com dúvidas se seria uma câmera de filmar, espero que não.","","チェックイン前に荷物を預けられるオプションがあり、すべてが迅速かつ簡単に利用できるよう設計されている、快適なホテルです。","天井にビデオカメラが設置されているのかどうか確信が持てなかった。そうでないことを願う。","Cristina","","FALSE","Booking.com","7","2026-04-25","","Hotel cómodo com possibilidade de deixar a bagagem antes do Check in e tudo feito para ser rápido e simples","No teto fiquei com dúvidas se seria uma câmera de filmar, espero que não.","","チェックイン前に荷物を預けられるオプションがあり、すべてが迅速かつ簡単に利用できるよう設計されている、快適なホテルです。","天井にビデオカメラが設置されているのかどうか確信が持てなかった。そうでないことを願う。","Cristina"
"","FALSE","Booking.com","7","2026-04-25","","Proche de Haneda mais obligé de prendre un transport pour s’y rendre","","","羽田空港に近いですが、そこへ行くには交通機関を利用する必要があります。","","Plot","","FALSE","Booking.com","7","2026-04-25","","Proche de Haneda mais obligé de prendre un transport pour s’y rendre","","","羽田空港に近いですが、そこへ行くには交通機関を利用する必要があります。","","Plot"
"","FALSE","Booking.com","8","2026-04-25","","干净","前台那个假人可以做成卡通形象吗，确实很吓人 另外前台备品不足，一般酒店会有的简单护肤品水乳等这里都没有找到","","クリーン","フロントのマネキンを漫画のキャラクターに改造できないでしょうか？本当に怖いです。それに、フロントの備品も不十分です。ホテルによくあるような、ローションや保湿クリームといった基本的なスキンケア用品が見当たりませんでした。","Chang","","FALSE","Booking.com","8","2026-04-25","","干净","前台那个假人可以做成卡通形象吗，确实很吓人 另外前台备品不足，一般酒店会有的简单护肤品水乳等这里都没有找到","","クリーン","フロントのマネキンを漫画のキャラクターに改造できないでしょうか？本当に怖いです。それに、フロントの備品も不十分です。ホテルによくあるような、ローションや保湿クリームといった基本的なスキンケア用品が見当たりませんでした。","Chang"
"","FALSE","Booking.com","6","2026-04-24","","","","","","","Anastasiya","","FALSE","Booking.com","6","2026-04-24","","","","","","","Anastasiya"
"","FALSE","Booking.com","7","2026-04-24","","The location - 20min by metro to Haneda Airport.","The room was really small.  The check in process was slow.  The shuttle to the Airport had limited space and only runs once per hour. I was denied access to it because it was already full, so needed to wait another hour or take public transportation.","","立地：羽田空港まで地下鉄で20分。","部屋は本当に狭かった。チェックインの手続きも遅かった。空港行きのシャトルバスは定員が限られていて、1時間に1本しか運行していなかった。すでに満員だったので乗車を拒否され、さらに1時間待つか公共交通機関を利用するしかなかった。","Ruimgmartinho","","FALSE","Booking.com","7","2026-04-24","","The location - 20min by metro to Haneda Airport.","The room was really small.  The check in process was slow.  The shuttle to the Airport had limited space and only runs once per hour. I was denied access to it because it was already full, so needed to wait another hour or take public transportation.","","立地：羽田空港まで地下鉄で20分。","部屋は本当に狭かった。チェックインの手続きも遅かった。空港行きのシャトルバスは定員が限られていて、1時間に1本しか運行していなかった。すでに満員だったので乗車を拒否され、さらに1時間待つか公共交通機関を利用するしかなかった。","Ruimgmartinho"
"","FALSE","Booking.com","9","2026-04-23","","Dinosaurs! Breakfast!","Nothing","","恐竜！朝食！","何もない","Ian","","FALSE","Booking.com","9","2026-04-23","","Dinosaurs! Breakfast!","Nothing","","恐竜！朝食！","何もない","Ian"
"","FALSE","Booking.com","10","2026-04-23","","Cheguei mais cedo no hotel e tinha lockers para deixar a mala, foi ótimo para explorar o bairro. Fui bem atendida e utilizei o bus para levar ao aeroporto. Lugar limpo e espaçoso. É bem perto do metrô. Recomendo.","Café da manhã não era muito bom.","","ホテルに早めに到着したのですが、荷物を預けられるロッカーがあったので、周辺を散策するのにとても便利でした。サービスも素晴らしく、空港へはバスを利用しました。ホテルは清潔で広々としていました。地下鉄の駅からも非常に近いです。おすすめです。","朝食はあまり美味しくなかった。","Marina","","FALSE","Booking.com","10","2026-04-23","","Cheguei mais cedo no hotel e tinha lockers para deixar a mala, foi ótimo para explorar o bairro. Fui bem atendida e utilizei o bus para levar ao aeroporto. Lugar limpo e espaçoso. É bem perto do metrô. Recomendo.","Café da manhã não era muito bom.","","ホテルに早めに到着したのですが、荷物を預けられるロッカーがあったので、周辺を散策するのにとても便利でした。サービスも素晴らしく、空港へはバスを利用しました。ホテルは清潔で広々としていました。地下鉄の駅からも非常に近いです。おすすめです。","朝食はあまり美味しくなかった。","Marina"
"","FALSE","Trip.com","7","2026-04-23","今回ウズベキスタン🇺🇿旅行の早朝出発の為こちらのホテルに前泊致しました。 羽田からホテル、ホテルから羽田空港第三ターミナル迄の無料シャトルバスが出ていたので利用させて頂きました。 かなり早く予約した為料金的にもお安く利用出来ました。 ベッドも眠り易く清潔で良かったです。 又利用したいと思います。","","","今回ウズベキスタン🇺🇿旅行の早朝出発の為こちらのホテルに前泊致しました。 羽田からホテル、ホテルから羽田空港第三ターミナル迄の無料シャトルバスが出ていたので利用させて頂きました。 かなり早く予約した為料金的にもお安く利用出来ました。 ベッドも眠り易く清潔で良かったです。 又利用したいと思います。","","","ゲ‍ス‍ト","","FALSE","Trip.com","7","2026-04-23","今回ウズベキスタン🇺🇿旅行の早朝出発の為こちらのホテルに前泊致しました。 羽田からホテル、ホテルから羽田空港第三ターミナル迄の無料シャトルバスが出ていたので利用させて頂きました。 かなり早く予約した為料金的にもお安く利用出来ました。 ベッドも眠り易く清潔で良かったです。 又利用したいと思います。","","","今回ウズベキスタン🇺🇿旅行の早朝出発の為こちらのホテルに前泊致しました。 羽田からホテル、ホテルから羽田空港第三ターミナル迄の無料シャトルバスが出ていたので利用させて頂きました。 かなり早く予約した為料金的にもお安く利用出来ました。 ベッドも眠り易く清潔で良かったです。 又利用したいと思います。","","","ゲ‍ス‍ト"
"","FALSE","Agoda","9","2026-04-23","とても気にいりました！ もっとゆっくり泊まりたかった","","","とても気にいりました！ もっとゆっくり泊まりたかった","","","NAOKO","","FALSE","Agoda","9","2026-04-23","とても気にいりました！ もっとゆっくり泊まりたかった","","","とても気にいりました！ もっとゆっくり泊まりたかった","","","NAOKO"
