チェック,サイト名,評価,投稿日,コメント(全体),コメント(良い点),コメント(改善点),コメント（翻訳:全体),コメント（翻訳:良い),コメント（翻訳:改善点),投稿者,レビューID
false,Booking.com,10,2026-01-31,,,,,,,Amiko,bookingcom_260186_8500276122b73f7ff9065b9c7790345e
false,Trip.com,10,2026-01-31,"Good place, good room, and good service. Thanks",,,良い場所、良い部屋、良いサービスでした。ありがとうございました。,,,ゲ‍ス‍ト,trip_1831190730
false,Booking.com,8,2026-01-31,,,,,,,Makiko,bookingcom_260186_a4080fd8ae42940154c0467d2a2df207
false,Booking.com,5,2026-01-31,,,,,,,Kousuke,bookingcom_260186_221ced171a775206916d78b5eb216fc5
false,じゃらん,3,2026-01-31,大晦日に宿泊しました。それほど混んでいた印象はありませんでした。  近くからの宿泊でしたので安いプランで申し込みしました。  ホテルレストラン、BARも大晦日営業でしたので時短営業でした。  BARで軽くカクテルをいただきましたがそこは良い雰囲気で大晦日の喧騒から解放されてくつろげました。  あとは過不足ないといったところでした。,,,大晦日に宿泊しました。それほど混んでいた印象はありませんでした。  近くからの宿泊でしたので安いプランで申し込みしました。  ホテルレストラン、BARも大晦日営業でしたので時短営業でした。  BARで軽くカクテルをいただきましたがそこは良い雰囲気で大晦日の喧騒から解放されてくつろげました。  あとは過不足ないといったところでした。,,,たつさん,jalan_322153_80bdbd2ad07574716e3f05ddf57a8ea8
false,じゃらん,2,2026-01-31,大晦日に宿泊しました。それほど混んでいた印象はありませんでした。  近くからの宿泊でしたので安いプランで申し込みしました。  ホテルレストラン、BARも大晦日営業でしたので時短営業でした。  BARで軽くカクテルをいただきましたがそこは良い雰囲気で大晦日の喧騒から解放されてくつろげました。  あとは過不足ないといったところでした。,,,大晦日に宿泊しました。それほど混んでいた印象はありませんでした。  近くからの宿泊でしたので安いプランで申し込みしました。  ホテルレストラン、BARも大晦日営業でしたので時短営業でした。  BARで軽くカクテルをいただきましたがそこは良い雰囲気で大晦日の喧騒から解放されてくつろげました。  あとは過不足ないといったところでした。,,,たつさん,jalan_322153_7ec93b2a10f4b83fe302594848c00af1
false,楽天トラベル,4,2026-01-30,50年前は川崎に住んでいたので、このホテルは高級そうだと思っていました。当時は利用する機会は無かったのですが現在は他の場所に住んでいるため、川崎に用事があり利用させていただきました。 期待していたような特別なものはありませんでしたが、設備、サービスは全て標準以上でした。 このホテルの通常の料金適応での宿泊でしたら価格相応と言うことになるのでしょうかが、私はディスカウントされていると思う金額で宿泊させていただいたのでお得感がありました。 ,,,50年前は川崎に住んでいたので、このホテルは高級そうだと思っていました。当時は利用する機会は無かったのですが現在は他の場所に住んでいるため、川崎に用事があり利用させていただきました。 期待していたような特別なものはありませんでしたが、設備、サービスは全て標準以上でした。 このホテルの通常の料金適応での宿泊でしたら価格相応と言うことになるのでしょうかが、私はディスカウントされていると思う金額で宿泊させていただいたのでお得感がありました。 ,,,Uhn,rakuten_2056_93233d2bd10f9e676bf2b3192104da5d
false,Booking.com,10,2026-01-29,,上層階で夜景がきれい。 駅から近くて雨に濡れずに行ける,,,上層階で夜景がきれい。 駅から近くて雨に濡れずに行ける,,Aiko,bookingcom_260186_5b0bfe78ac2b43fc804d1473895c9e84
false,Booking.com,10,2026-01-29,,部屋からの景観,,,部屋からの景観,,シマヤ,bookingcom_260186_48a2992c0561dbbc5d7320b3cb7d4125
false,楽天トラベル,4,2026-01-29,朝食のメニューも豊富で良かったです,,,朝食のメニューも豊富で良かったです,,,2525kara,rakuten_2056_a39f97cee442fca89e97bc969f9641ea
