チェック,サイト名,評価,投稿日,コメント(全体),コメント(良い点),コメント(改善点),コメント（翻訳:全体),コメント（翻訳:良い),コメント（翻訳:改善点),投稿者,レビューID
false,Trip.com,3,2026-01-31,うるさくて２度と泊まらないですね,,,うるさくて２度と泊まらないですね,,,M‍a‍s‍a‍k‍i‍ ‍2‍1‍8,trip_1831141716
false,Trip.com,10,2026-01-30,洋食、和食も豪華でありました。2回目もここに泊まることができて良かったです。,,,洋食、和食も豪華でありました。2回目もここに泊まることができて良かったです。,,,Ｗ‍Ｉ‍Ｎ,trip_1830177226
false,楽天トラベル,5,2026-01-30,2回目の利用です。コストパフォーマンスが高く簡略されており更には利便性があり設備も充実しています。また東京に行く機会があれば是非利用させて頂きます。ありがとうございました。,,,2回目の利用です。コストパフォーマンスが高く簡略されており更には利便性があり設備も充実しています。また東京に行く機会があれば是非利用させて頂きます。ありがとうございました。,,,ガルシア1802,rakuten_183014_d60911b81c0b1e8acd547c51f2c46d03
false,Booking.com,10,2026-01-30,,"Temizlik, kahvaltı, olanaklar, konum",,,清潔さ、朝食、設備、立地,,Nesli̇han,bookingcom_7530135_75f3dbe76db4a68427c870f7b3b11605
false,楽天トラベル,4,2026-01-30,清潔な部屋と湯船が広めのユニットバスに満足です。 チェックイン時はアメニティバーの一部が品切れになっていましたが夕食後に戻ると補充されていたので特に困ることもありませんでした。 今回は朝食なしプランで申し込みましたが、過日いただいた朝食もビジネスホテルのなかでは品揃えと味は十分満足するレベルでした。 また泊まります。,,,清潔な部屋と湯船が広めのユニットバスに満足です。 チェックイン時はアメニティバーの一部が品切れになっていましたが夕食後に戻ると補充されていたので特に困ることもありませんでした。 今回は朝食なしプランで申し込みましたが、過日いただいた朝食もビジネスホテルのなかでは品揃えと味は十分満足するレベルでした。 また泊まります。,,,食う寝るところに住むところ,rakuten_183014_3b31b7dbd7ba53b23427a7f074ebaa42
false,Google,5,2026-01-29,ダブルルームは広くはありませんが、内装は上質で、特に洗濯機や乾燥機のリアルタイム情報を表示する液晶画面は非常に便利です。,,,ダブルルームは広くはありませんが、内装は上質で、特に洗濯機や乾燥機のリアルタイム情報を表示する液晶画面は非常に便利です。,,,黃昭儒,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_cdff93e496a1ad4c01b387fb75124b75
false,Trip.com,10,2026-01-29,服務人員非常非常親切，耐心協助所有問題，附近交通便利！有地鐵，也有前往迪士尼樂園的接駁車，推薦給想去迪士尼樂園的家庭。,,,スタッフの方々はとても親切で、どんな問題にも根気強く対応してくれました。地下鉄の駅やディズニーランド行きのシャトルバス乗り場にも近く、とても便利な立地です。ディズニーランド旅行を計画しているご家族にぜひお勧めします。,,,ゲ‍ス‍ト,trip_1829400034
false,Booking.com,10,2026-01-29,,spacious,all good,,広々とした,すべて順調です,Batjargal,bookingcom_7530135_91ebbd33090d5e28ee466266a1114092
false,Google,5,2026-01-29,双人客房空間不大，但内部質感佳，特别是房間內的LCD整合洗烘衣機的即時訊息，相當方便。,,,ダブルルームは広くはないが、内装の質は良く、特に洗濯機と乾燥機のリアルタイム情報を表示する液晶画面は非常に便利だ。,,,黃昭儒,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_be2c0fcbcaddfef2e6c8b4172a57e53e
false,Google,5,2026-01-29,ダブルルームは広くはありませんが、内装は上質で、特に洗濯機と乾燥機のリアルタイム情報が統合された液晶画面は非常に便利です。,,,ダブルルームは広くはありませんが、内装は上質で、特に洗濯機と乾燥機のリアルタイム情報が統合された液晶画面は非常に便利です。,,,黃昭儒,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_999c942973ed84ad9087fc9b9bc0ed9e
