"","①　R7~R8クレーム率推移・口コミ指摘率 R7データ（去年） ","清掃数","クレーム数","クレーム率","口コミ数","口コミ率","R8データ（今年） ","清掃数","クレーム数","クレーム率","口コミ数","口コミ率","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","11364","9","0.08%","","","2月","10,539","9","0.09%","3","0.03%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","12506","10","0.08%","","","3月","12,673","8","0.06%","4","0.03%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","13126","7","0.05%","","","4月","12,242","8","0.07%","7","0.06%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","5月","11819","8","0.07%","","","5月","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","6月","6209","3","0.05%","","","6月","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","7月","5642","7","0.12%","","","7月","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","8月","9513","5","0.05%","0","0.00%","8月","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","9月","10965","9","0.08%","2","0.02%","9月","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","10月","13046","4","0.03%","1","0.01%","10月","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","11月","12826","8","0.06%","3","0.02%","11月","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","12月","11984","9","0.08%","1","0.01%","12月","","0","","0","","","2月","3月","4月","","6月","7月","8月","","10月","11月","","","合計","","","","","","","","","","","","","","","","","","","",""
"","1月","9926","8","0.08%","0","0.00%","1月","","0","","0","","内容","件数","件数","件数","","件数","件数","件数","","件数","件数","","","内容","","","","","","","","","","","","","","","","","","","",""
"","総計","128926","87","0.067%","7","0.01%","総計","35454","25","0.071%","14","0.04%","セット漏れ","0","0","0","0","0","0","0","0","0","0","0","0","セット漏れ","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","残置","1","0","0","0","0","0","0","0","0","0","0","0","残置","1","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","髪の毛","2","1","1","0","0","0","0","0","0","0","0","0","髪の毛","4","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","汚れ","0","0","0","0","0","0","0","0","0","0","0","0","汚れ","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","清掃不備","0","0","3","0","0","0","0","0","0","0","0","0","清掃不備","3","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","手配ミス","0","0","0","0","0","0","0","0","0","0","0","0","手配ミス","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","臭い","0","2","2","0","0","0","0","0","0","0","0","0","臭い","4","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","ホコリ","0","0","0","0","0","0","0","0","0","0","0","0","ホコリ","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","カビ","0","0","1","0","0","0","0","0","0","0","0","0","カビ","1","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","害虫","0","0","0","0","0","0","0","0","0","0","0","0","害虫","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","その他","0","1","0","0","0","0","0","0","0","0","0","0","その他","1","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","合計","3","4","7","0","0","0","0","0","0","0","0","0","総合計","14","","","","","","","","","","","","","","","","","","",""
"","②　R7~R8クレーム、口コミ内容","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","R8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","メイドごとのクレーム
発生件数（多い順）","","チェッカーごとのクレーム
発生件数（多い順）","","全指摘内容","","クレーム（お客様指摘）内容","","","R8口コミ件数","","","","月","日","種別","","チェッカー","メイド","詳細内容","","月","日","","","チェッカー","","詳細内容","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","R7","2月","4日","汚れ","","","ナバーロ","ベッドパットにシミ","","2月","5日","","","イラノ","","ダブルセットになっていなかった","","全員","","","","","","","","","","","","","","","",""
"","メイド","件数","チェッカー","件数","種別","件数","種別","","","","","","","2月","3日","汚れ","","","ラリー","布団、デュベ汚れ","","2月","7日","","","サムジャナ","","シャンプーがなかった","","アディカリ","","","","","","","","","","","","","","","",""
