"","①　R7~R8クレーム率推移・口コミ指摘率 R7データ（去年） ","清掃数","クレーム数","クレーム率","口コミ数","口コミ率","R8データ（今年） ","清掃数","クレーム数","クレーム率","口コミ数","口コミ率","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","3195","6","0.19%","","","2月","2,966","2","0.07%","","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","3450","6","0.17%","","","3月","3,188","2","0.06%","","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","3447","5","0.15%","","","4月","3,156","3","0.10%","","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","5月","3059","3","0.10%","","","5月","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","6月","2785","4","0.14%","","","6月","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","7月","3143","10","0.32%","","","7月","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","8月","3129","4","0.13%","1","0.03%","8月","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","9月","2691","3","0.11%","2","0.07%","9月","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","10月","2948","4","0.14%","2","0.07%","10月","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","11月","3054","5","0.16%","0","0.00%","11月","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","12月","3046","4","0.13%","1","0.03%","12月","","0","","","","#REF!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1月","3092","4","0.13%","1","0.05%","1月","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","総計","37039","58","0.16%","7","0.02%","総計","9310","7","0.08%","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","②　R7~R8クレーム、口コミ内容","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","R8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","メイドごとのクレーム
発生件数（多い順）","","チェッカーごとのクレーム
発生件数（多い順）","","全指摘内容","","クレーム（お客様指摘）内容","","","R8口コミ件数","","","","月","日","種別","","チェッカー","メイド","詳細内容","","月","日","種別","","チェッカー","メイド","詳細内容","","","","","","","","","","","","","","","","","",""
