"","①　R7~R8クレーム率推移・口コミ指摘率 R7データ（去年） ","清掃数","クレーム数","クレーム率","口コミ数","口コミ率","R8データ（今年） ","清掃数","クレーム数","クレーム率","口コミ数","口コミ率","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","5668","4","0.07%","","","2月","4,554","0","0.00%","","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3月","6221","6","0.10%","","","3月","5,638","3","0.05%","","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","6231","2","0.03%","","","4月","6,047","4","0.07%","","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","5月","5377","3","0.06%","","","5月","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","6月","4882","0","0.00%","","","6月","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","7月","5765","5","0.09%","","","7月","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","8月","6003","10","0.17%","8","0.13%","8月","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","9月","5385","5","0.09%","8","0.15%","9月","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","10月","6387","9","0.14%","3","0.05%","10月","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","11月","6172","8","0.13%","2","0.03%","11月","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","12月","5153","1","0.02%","4","0.08%","12月","","0","","","","#REF!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1月","4323","2","0.05%","4","0.09%","1月","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","総計","67567","55","0.08%","29","0.04%","総計","16239","7","0.04%","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
